emoji,name,name_emotion,name_emotion_vec
😀,grinning face,neutral,"[0.05356820672750473, 0.0021678684279322624, 0.001762000611051917, 0.005701315589249134, 0.02898026816546917, 0.001644881791435182, 0.0006921926396898925, 0.0005532735958695412, 0.0012124453205615282, 0.010280788876116276, 0.002630326198413968, 0.003133154008537531, 0.001204148167744279, 0.0037240819074213505, 0.0023577678948640823, 0.0012479638680815697, 0.0013823042390868068, 0.0054990556091070175, 0.002112283604219556, 0.0006839568959549069, 0.0018287540879100561, 0.0023520353715866804, 0.011195489205420017, 0.0015214411541819572, 0.0007608547457493842, 0.008526974357664585, 0.0016946482937783003, 0.9156505465507507]"
😃,grinning face with big eyes,neutral,"[0.5504378080368042, 0.0017477483488619328, 0.0010449751280248165, 0.004026820883154869, 0.06814857572317123, 0.0025407460052520037, 0.000743456999771297, 0.0007059078780002892, 0.0012243312085047364, 0.00622803857550025, 0.003150452394038439, 0.001599519164301455, 0.0007060444331727922, 0.004644735250622034, 0.0013958225026726723, 0.0018479061545804143, 0.0011061551049351692, 0.003781999461352825, 0.0036863498389720917, 0.00037027784856036305, 0.0024492854718118906, 0.004241697955876589, 0.013238740153610706, 0.0011718554887920618, 0.0005030386382713914, 0.00507635623216629, 0.001838815864175558, 0.5795679688453674]"
😄,grinning face with smiling eyes,joy,"[0.3454047441482544, 0.038303982466459274, 0.0011025839485228062, 0.002929885173216462, 0.07328909635543823, 0.008822644129395485, 0.0009435720276087523, 0.0008828648715279996, 0.0016199226956814528, 0.0017620240105316043, 0.0020029530860483646, 0.0005932352505624294, 0.0006136058364063501, 0.016378041356801987, 0.0007635971996933222, 0.00436404999345541, 0.0013991504674777389, 0.5553561449050903, 0.014809570275247097, 0.0008268093806691468, 0.00484297052025795, 0.01509283110499382, 0.007505886722356081, 0.011619431897997856, 0.0005913875647820532, 0.0028945407830178738, 0.0012332163751125336, 0.14277365803718567]"
😁,beaming face with smiling eyes,joy,"[0.19091419875621796, 0.03166620805859566, 0.0018081236630678177, 0.003288047155365348, 0.020844925194978714, 0.004848390817642212, 0.0014210233930498362, 0.0013498269254341722, 0.001954795094206929, 0.0013009724207222462, 0.001476873061619699, 0.0006738323718309402, 0.000869513547513634, 0.07784376293420792, 0.0011866948334500194, 0.007062381133437157, 0.0014422964304685593, 0.6946936845779419, 0.013603854924440384, 0.0012916229898110032, 0.003704564645886421, 0.016979236155748367, 0.005696327891200781, 0.00914041232317686, 0.0006123152561485767, 0.002465795958414674, 0.0037526297383010387, 0.07174552232027054]"
😆,grinning squinting face,neutral,"[0.00785477738827467, 0.009097017347812653, 0.0030543182510882616, 0.008467561565339565, 0.00875643640756607, 0.001066968310624361, 0.001385972136631608, 0.0012004920281469822, 0.0008597223204560578, 0.008626988157629967, 0.0034342468716204166, 0.004403667524456978, 0.0018486117478460073, 0.002336149336770177, 0.0037861859891563654, 0.0008415502379648387, 0.0012608063407242298, 0.0028297549579292536, 0.0011645067716017365, 0.0007994278566911817, 0.0010731718502938747, 0.0006062811589799821, 0.00697905570268631, 0.0005871749599464238, 0.0006547917728312314, 0.011455305851995945, 0.0019525403622537851, 0.916199266910553]"
😅,grinning face with sweat,neutral,"[0.009548285976052284, 0.0030400108080357313, 0.003638478694483638, 0.013084305450320244, 0.014995571225881577, 0.0016313252272084355, 0.0009890265064314008, 0.0007627240265719593, 0.0023459866642951965, 0.008180470205843449, 0.002696160925552249, 0.009506195783615112, 0.0022288754116743803, 0.002497163601219654, 0.003052002051845193, 0.0015432267682626843, 0.001276784110814333, 0.0022289177868515253, 0.002180531620979309, 0.0008029951713979244, 0.001805020379833877, 0.0011216663988307118, 0.008547183126211166, 0.0009438282577320933, 0.001106414245441556, 0.009863771498203278, 0.0011669518426060677, 0.9442266821861267]"
🤣,rolling on the floor laughing,amusement,"[0.006717819720506668, 0.8087378740310669, 0.0015534600242972374, 0.004441951867192984, 0.008770672604441643, 0.0028766607865691185, 0.002089413348585367, 0.0024114788975566626, 0.0014665037160739303, 0.0013044823426753283, 0.002338585676625371, 0.000849445175845176, 0.0009862506994977593, 0.007786998990923166, 0.0007072212756611407, 0.0031109615229070187, 0.0004947640118189156, 0.2883789837360382, 0.005841131787747145, 0.0007211616029962897, 0.004039499443024397, 0.0005119782290421426, 0.005399130750447512, 0.001956008607521653, 0.00078921252861619, 0.003188767470419407, 0.001615574350580573, 0.03558630123734474]"
😂,face with tears of joy,joy,"[0.01936277374625206, 0.019957279786467552, 0.002708165440708399, 0.005277302116155624, 0.020556077361106873, 0.013186839409172535, 0.0031996213365346193, 0.002186196157708764, 0.0024369971361011267, 0.0020486884750425816, 0.004161232151091099, 0.0006418026168830693, 0.0009977244772017002, 0.028463762253522873, 0.0009907183703035116, 0.009793106466531754, 0.0012817131355404854, 0.8845330476760864, 0.01290570292621851, 0.0022190676536411047, 0.005320008844137192, 0.004077551420778036, 0.006669010501354933, 0.020628485828638077, 0.00110963627230376, 0.006395988631993532, 0.0018052250379696488, 0.03671898692846298]"
🙂,slightly smiling face,joy,"[0.038135774433612823, 0.07599036395549774, 0.0015356767689809203, 0.003979111090302467, 0.026023173704743385, 0.007967167533934116, 0.0012261372758075595, 0.0008993101073428988, 0.0018283423269167542, 0.001619684393517673, 0.0016699694097042084, 0.0007286487380042672, 0.0009328625747002661, 0.01818392425775528, 0.0008142169681377709, 0.003372500417754054, 0.001215875381603837, 0.6956471800804138, 0.013847523368895054, 0.0013608380686491728, 0.004098317585885525, 0.005308968480676413, 0.007124632131308317, 0.01154352631419897, 0.000924428750295192, 0.00449798721820116, 0.0012556376168504357, 0.1621723622083664]"
🙃,upside-down face,neutral,"[0.003444499569013715, 0.0021125657949596643, 0.002895485144108534, 0.006846912205219269, 0.012021002359688282, 0.0010604150593280792, 0.0027585888747125864, 0.0015754972118884325, 0.0010186616564169526, 0.003469447372481227, 0.004234371241182089, 0.0023741067852824926, 0.0008230432868003845, 0.0020978893153369427, 0.0017491623293608427, 0.0009599404293112457, 0.000490453967358917, 0.0020735717844218016, 0.0012908034259453416, 0.000415577320381999, 0.0017609255155548453, 0.0003800163685809821, 0.005186582449823618, 0.00037140949280001223, 0.00040416853153146803, 0.002593257697299123, 0.0010374810080975294, 0.967456042766571]"
